player,minutes,estimated_value
Aaron Wan-Bissaka,2884,€26.9M
Aaron Ramsdale,2430,€18.7M
Abdoulaye Doucouré,2425,€5.8M
Adam Smith,1409,€1.5M
Adam Wharton,1318,€48.9M
Adama Traoré,1592,€8M
Alejandro Garnacho,2146,€60.7M
Alex Iwobi,2796,€30.3M
Alex Palmer,990,€1.6M
Alexander Isak,2577,€120.3M
Alexis Mac Allister,2575,€106.1M
Alisson,2238,€24.1M
Amad Diallo,1639,€48.5M
Amadou Onana,1378,€62.1M
Andreas Pereira,1879,€19M
Andrew Robertson,2308,€24M
André Onana,2970,€34.2M
André,2249,€29.8M
Anthony Elanga,2232,€45.5M
Anthony Gordon,2235,€49.5M
Antoine Semenyo,2933,€47.7M
Antonee Robinson,2989,€46.4M
Archie Gray,1481,€58.2M
Ashley Young,1622,€1.3M
Axel Tuanzebe,1446,€4.2M
Bart Verbruggen,2970,€30.7M
Ben Davies,1126,€5.6M
Ben Johnson,1348,€12.6M
Bernardo Silva,2401,€50M
Bernd Leno,3150,€13.7M
Beto,1268,€24.4M
Bilal El Khannouss,2003,€40.6M
Boubacar Kamara,1463,€46.3M
Boubakary Soumaré,1960,€15.4M
Brennan Johnson,2083,€71.3M
Bruno Guimarães,3002,€83.2M
Bruno Fernandes,2758,€54.8M
Bryan Mbeumo,3144,€57.2M
Bukayo Saka,1539,€101.3M
Caleb Okoli,1124,€16.7M
Callum Hudson-Odoi,2152,€30.2M
Calvin Bassey,2894,€29.9M
Cameron Burgess,1451,€1.7M
Cameron Archer,1373,€18.6M
Carlos Soler,1358,€23.4M
Carlos Baleba,2403,€52.4M
Casemiro,1335,€11.6M
Chris Richards,1652,€15.7M
Chris Wood,2689,€7.8M
Christian Eriksen,1028,€4.2M
Christian Nørgaard,2549,€14.4M
Christopher Nkunku,921,€51.7M
Cody Gakpo,1717,€67.5M
Cole Palmer,2921,€115.4M
Conor Coady,1444,€2.2M
Craig Dawson,971,€1.5M
Cristian Romero,1416,€60.1M
Curtis Jones,1528,€61.7M
Daichi Kamada,1424,€14.6M
Dan Burn,3060,€9.1M
Dango Ouattara,2005,€28.5M
Daniel Muñoz,2958,€30.9M
Danny Welbeck,1942,€6M
Dara O'Shea,2852,€19.5M
Darwin Núñez,1051,€60.9M
David Raya,3150,€28.9M
Dean Huijsen,2234,€55M
Dean Henderson,3150,€22.7M
Declan Rice,2645,€107.8M
Dejan Kulusevski,2371,€60.5M
Destiny Udogie,1834,€59.4M
Diogo Dalot,2788,€37.4M
Diogo Jota,1154,€58.6M
Djed Spence,1604,€19.8M
Dominic Calvert-Lewin,1588,€17.8M
Dominic Solanke,2119,€52.1M
Dominik Szoboszlai,2279,€71.4M
Dwight McNeil,1262,€27M
Eberechi Eze,2427,€62.2M
Ederson,2050,€19.1M
Edson Álvarez,1633,€36.5M
Elliot Anderson,2467,€46.5M
Emerson Palmieri,2105,€12.6M
Emile Smith Rowe,1886,€40.8M
Emiliano Martínez,2970,€17.5M
Emmanuel Agbadou,1140,€18M
Enzo Fernández,2677,€73.7M
Erling Haaland,2480,€198.8M
Ethan Pinnock,1913,€7.6M
Evanilson,2058,€26.9M
Ezri Konsa,2666,€42.7M
Fabian Schär,2664,€11M
Facundo Buonanotte,1474,€30.7M
